lineopen,line,road,home,linehow,linemarsee,linedokter,linebihl,linekeep,lineatom,lineargh,linecong,linebillings,linebillings2,lineharville,linecather,lineburdorf,linepiratings,linepimean,linepibias,linefei,linerwp,linemassey,lineclean,linebmc,linetempo,linedonchess,linefeng,linepugh,linedwig,linefpi,linetalis,lineround,linerba,linemidweek,linegiddens,lineunion,neutral,linesag,linesagr,linesagpred,linesaggm,linepfz,linemoore,linenutshell,lineelo,lineborn,linefox,linelaz,linepig,linekam,linel2hf,linepayne,linepaynep,linepaynewl,lineash,linesuper,linecovers,linekerns,lineteamrank,linel2,linelog,linecons,lineloud,linecurry,linedunk,linem2,lineavg,linestd,linemedian,phcover,phwin,lineca
7.5,20,Notre Dame,Alabama,25.5,,17.82,,22.58,,19,5.97,,,17.31,23,,17,17.9,19,12.8,3,16.39,16,,,8.5,18.8,22.27,,12.486598375,15.06,,,19.5,,,1,15.89,15.59,16.3,15.78,13.58,16.99,,16.225033968,25.5,20,17.36,,18.9464,,,,,,3.5625,,17.95,17.2,,,2.0265,8,,24.382,,16.21911521,5.8273319874,17,0.4358428701,0.8304109707,19.5
18,21,North Texas,Appalachian St.,,,20.17,,29.66,,28,23.94,,,22.58,27,,28,27.3,28.7,26,17,16.99,14,,,16,23.8,22.68,,18.752631822,,,,21,,,1,20.5,22.08,20.93,18.54,20.53,22.7,,21.566087181,24.7,23,21.66,,26.5573,,,,,,34.625,,24.65,23.9,,,24.598,,20.25,20.95,,23.009088794,4.2999504793,22.69,0.534690075,0.9183226358,21
-9,-7,West Va.,Army,5,,-6.52,,-25.26,,4,-11.98,,,-7.04,-12,,-10,-8.2,-10,0.3,5.8,-7.66,-6,,,-5.5,,-10.86,,-8.59303256,,,,-7.5,,,1,-8.58,-8.08,-8.8,-8.83,-0.34,-6.97,,1.208608174,-10.9,-8,-5.16,,-1.2634,,,,,,-8.3125,,-7.9,-6.8,,,0.623,,,-13.354,,-6.544585587,6.0592347037,-7.9,0.5077415227,0.3505489438,-7
3,6.5,Central Florida,BYU,15,,1.46,,10.8,,21,-2.64,,,6.96,3,,3.3,3.2,3.2,14.4,12,2.67,1.5,,,3.1,-1.4,5.9,,-2.523525381,,,,6.5,,,1,4.22,6.37,4.74,1.86,9.84,12.48,,8.322561759,7.3,2,7.78,,-0.627,,,,,,9.5,,9.4,4.3,,,6.6885,10,0.54,7.261,,5.7971867537,5.2496403178,4.74,0.4879534909,0.6351361841,6.5
1,4.5,Marshall,Buffalo,-12,,3.2,,7.36,,-5,-4.71,,,2,9,,6.3,7,7.5,3.1,6.4,-0.23,5.5,,,3.8,1.4,,,1.8251306928,,,,4.5,,,1,2.97,4.83,2.16,1.86,-1.43,7.12,,5.75914374,6.1,5,-0.24,,-1.4578,,,,,,-1.75,,3.35,3.6,,,3.3565,,5.85,13.045,,3.0167051304,4.6390986653,3.35325,0.4744464105,0.5721074014,4.5
8,7,Georgia,Cincinnati,7.5,,-6.39,,-9.06,,7,-14.02,,,-7.73,-12,,-7.8,-7.7,-8.8,-0.5,4.6,-9.15,-4.5,,,-3.4,-8.3,-8.29,,-7.212104847,-9.37,,,,,,1,-7.06,-4.48,-7.26,-8.92,2.67,-1.78,,-0.279933826,-5.8,-9,-4.23,,-12.1746,,,,,,-2.125,,-5.1,-6.5,,,1.2425,10,,-3.272,,-5.119746819,5.1488049939,-6.5,0.3010772792,0.3799222387,5.5
20.5,7.5,Ohio St.,Clemson,19.5,,3.86,,2.06,,-5,6.45,,,-0.55,2,,0.01,1.7,0.2,-0.01,12.1,0.36,1,,,6.7,-4.1,-2.9,,0.01,-7.23,,,7.5,,,1,-0.39,0.18,0.35,-1.77,0.87,10.32,,-0.456878888,-0.3,1,-0.01,,3.3724,,,,,,1.25,,0.2,2.8,,,0.2415,3,,-2.225,,1.4720890456,4.8662801543,0.2415,0.3974477568,0.5351970875,6.5
4,7.5,Liberty,Coastal Carolina,18,,3.37,,7.83,,17,5.37,,,9.53,5,,7,4.6,6.9,15.6,13.3,5.15,-2.5,,,7.9,6.5,,,7.5755419533,,,,7.5,,,1,7.48,10.39,7.6,5.6,7.47,10.29,,11.858896983,6.4,1,10.36,,11.1003,,,,,,12.25,,4.8,8.5,,,10.318,,10.66,12.238,,8.4247276158,4.2392280531,7.715,0.5159905556,0.6952724173,7.5
8,7,Cincinnati,Georgia,-7.5,,6.39,,9.06,,-7,14.02,,,7.73,12,,7.8,7.7,8.8,0.5,-4.6,9.15,4.5,,,3.4,8.3,8.29,,7.2121048472,9.37,,,7,,,1,7.06,4.48,7.26,8.92,-2.67,1.78,,0.279933826,5.8,9,4.23,,12.1746,,,,,,2.125,,5.1,6.5,,,-1.2425,-10,,3.272,,5.1197468192,5.1488049939,6.5,0.467770674,0.6200777613,7
5,4,Western Kentucky,Georgia St.,7.5,,0.95,,10.39,,9,-1.8,,,4.52,-2,,0.6,0.4,1.5,8,10.4,2.44,-7.5,,,3,2.9,3.62,,2.5297193929,,,,4,,,1,3.27,4.87,3.26,1.76,4.2,8.67,,9.8571007,1.1,-2,7.1,,-1.9459,,,,,,8.6875,,3.7,3.3,,,6.664,6,5.29,-1.32,,3.5117834312,4.1582009441,3.27,0.4915506359,0.5844189429,4
