lineopen,line,road,home,linehow,linemarsee,linedokter,linebihl,linekeep,lineatom,lineargh,linecong,linebillings,linebillings2,lineharville,linecather,lineburdorf,linepiratings,linepimean,linepibias,linefei,linerwp,linemassey,lineclean,linebmc,linetempo,linedonchess,linefeng,linepugh,linedwig,linefpi,linetalis,lineround,linerba,linemidweek,linegiddens,lineunion,neutral,linesag,linesagr,linesagpred,linesaggm,linepfz,linemoore,linenutshell,lineelo,lineborn,linefox,linelaz,linepig,linekam,linel2hf,linepayne,linepaynep,linepaynewl,lineash,linesuper,linecovers,linekerns,lineteamrank,linel2,linelog,linecons,lineloud,linecurry,linedunk,linem2,lineavg,linestd,linemedian,phcover,phwin,lineca
-17,-20.5,Western Mich.,Akron,-16.5,,-25.64,,-23.15,,-13,-11.6,,,-16.79,-25,,-14.5,-14.2,-17.3,,,-9.05,-17,,,-13.2,-23.4,-27.26,,-11.48512599,-30.83,,,,,,0,-17.53,-17.04,-17.42,-18.14,-12.19,-10.25,,-24.09868306,-32.55,-24,-14.5,,-26.0525,,,,,,-16.0625,,-23.05,-17.2,,,-6.5765,-1,-30.99,-29.422,,-19.02874438,6.8263467025,-17.25,0.5247737998,0.1362049092,-20.5
-3,-2,Tennessee,Arkansas,0.01,,-1.43,,-6.88,,2,-24.78,,,0.72,-3,,-4,-2.8,-5.3,,,0.31,-5,,,-3.2,-3.7,3.88,,0.9547084564,-13.92,3,,,,,0,0.01,4.56,-0.81,-3.42,-0.52,4.52,,9.159480205,4.25,-2,3.82,,-4.5703,,,,,,1.5,,4.6,0.6,,,-1.407,2,-2.22,5.748,,-1.121860324,5.9695119281,-0.52,0.5149394602,0.4737209995,-2
8,6,Air Force,Army,13,,6.01,,-1.2,,11,-7.29,,,2.41,3,,-3.4,-2.3,-3,,,-1.2,0.01,,,12.1,-5.3,2.67,,8.6655241667,-14.64,-1,,,,,0,2.31,5.38,0.19,1.27,4.81,12.37,,8.01426999,0.45,-1,-1.77,,-1.3599,,,,,,14.5625,,2.75,5.2,,,6.2685,12,-4.68,1.39,,2.1623112616,6.2391074714,1.39,0.4351781301,0.5502683765,5.5
3,-3,BYU,Boise St.,-16.5,,3.38,,-2.05,,-13,2.33,,,-1.53,2,,1.6,2.1,1.2,,,0.83,10.5,,,-3.4,5.1,0.01,,-0.990211184,5.17,1,,,,,0,-1.5,-2.22,-1.28,-1.23,9.18,-2.82,,-1.497258846,2.05,4,0.77,,3.3141,,,,,,-1.9375,,3.35,0.6,,,1.2985,-7,5.48,-2.176,,0.3751894277,4.9637245765,0.83,0.5578137056,0.508966098,-2.5
-6.5,1.5,Washington,California,-7.5,,-0.46,,0.42,,9,12.36,,,-4.02,-3,,-0.7,0.8,-1.1,,,-5.28,-6.5,,,-0.2,-7.4,-9.47,,0.4247858226,-14.55,,,,,,0,-3.08,-2.98,-3.08,-3.23,-6.79,-6.73,,-4.792435378,-11.85,-11,-6.78,,-10.901,,,,,,-11.0625,,-5.55,-0.3,,,-3.626,-1,-4.6,-9.689,,-4.212239693,5.5088599004,-4.31,0.4032932334,0.4013719203,0.5
0,-2.5,Ohio,Central Mich.,-6,,-5.9,,-5.57,,-5,0.27,,,-0.42,-8,,0.4,-0.9,-1.2,,,-1.22,1.5,,,3,-1.7,-2.33,,2.4887379585,-4.35,,,,,,0,-1.42,-1.35,-1.42,-1.49,-5.35,-16.98,,0.429348237,-4.95,-9,-3.89,,-5.0824,,,,,,-14.125,,4.1,-4.1,,,-2.3205,-1,-4.81,-6.858,,-3.339641582,4.4066597498,-2.32525,0.4854997914,0.4199702837,-2.5
10,13.5,Houston,Cincinnati,24.5,,13.39,,15.06,,23,14.97,,,17.6,26,,16.7,17.6,18.1,,,13.56,4,,,16.5,16.6,19.68,,10.371259361,15.99,20,,,,,0,15.39,19.96,13.95,13.3,20.23,29.62,,20.461325747,22.65,22,11.59,,20.2552,,,,,,30.6875,,9.35,13.3,,,21.2765,19,26.05,23.355,,18.201336717,5.6905724206,17.6,0.5797008257,0.8589353628,14
15,18,South Alabama,Coastal Carolina,25,,14.57,,18.88,,26,11.95,,,22.13,23,,21,20.5,22,,,10.72,7.5,,,9.8,13.3,21.3,,18.661572849,11.72,29,,,,,0,17.07,24.47,15.81,13.01,12.05,26.77,,27.388666013,24.35,18,21,,12.981,,,,,,37.5625,,19.3,19.5,,,27.2965,18,21.24,30.584,,19.868978253,6.7012809876,20.5,0.5315059286,0.87476965,18
-6.5,-6.5,UCLA,Colorado,2,,-4.7,,0.83,,8,1.41,,,2.74,8,,-1.9,0.9,-2.1,,,-0.4,9,,,-3.5,0.8,2.89,,-2.453416831,-1.48,,,,,,0,-2.84,-2.74,-2.83,-2.96,7.5,1.97,,3.143755034,5.95,6,1.74,,1.2951,,,,,,-0.75,,2.5,-5.9,,,2.3065,-1,7.55,6.961,,1.4392040648,4.0607415115,1.35255,0.6348392161,0.5348660818,-5
-42.5,-3.5,Wyoming,Colorado St.,-7,,-3.18,,-7.96,,-6,-6.78,,,-14.06,-10,,-8.6,-9.2,-10,,,-3.88,1,,,-3,-12.6,-16.64,,-11.76052815,-4.87,,,,,,0,-22.59,-25.04,-23.15,-19.82,-12.35,-10.56,,-13.68208953,-11.55,-7,-12.38,,-9.6248,,,,,,-12.9375,,10.45,-6.7,,,-12.2885,-32,-8.96,-11.538,,-10.1250417,6.8077197618,-10,0.38978751,0.2795315558,-4.5
